"(-0.1692, 0.292, -0.3368, 0.0718, 0.3447)",[3.449  1.1811 0.25  ]
"(-0.1643, 0.2843, -0.4326, 0.0688, 0.3339)",[3.4844 1.039  0.25  ]
"(-0.1706, 0.0494, -0.4326, 0.0686, 0.3362)",[3.6017 0.4512 0.25  ]
"(-0.1636, 0.0588, -0.1931, 0.0795, 0.3481)",[3.5636 0.894  0.25  ]
"(0.4477, 0.054, -0.1956, 0.0751, 0.3437)",[3.445  1.1578 0.25  ]
"(0.1255, 0.0469, -0.2032, 0.0663, 0.3371)",[3.5429 0.9771 0.25  ]
"(0.1167, 0.0468, -0.2037, -0.0801, 0.3372)",[3.5813 0.8106 0.25  ]
"(0.1276, 0.0542, -0.1944, 0.43, 0.3434)",[3.337  1.3801 0.25  ]
"(0.1214, 0.3841, -0.1958, 0.4326, 0.3459)",[2.8483 2.0519 0.25  ]
"(-0.0398, 0.3746, -0.2064, 0.422, 0.3353)",[2.9523 1.9676 0.25  ]
"(-0.0464, 0.3763, -0.2046, -0.3106, 0.3368)",[3.3751 1.2704 0.25  ]
"(0.1473, 0.3826, -0.1967, -0.3053, 0.3423)",[3.335  1.3935 0.25  ]
"(0.1464, 0.3751, -0.4522, -0.3152, 0.3355)",[3.4564 0.9113 0.25  ]
"(0.149, 0.2377, -0.4527, -0.3115, 0.3361)",[3.5256 0.5734 0.25  ]
"(-0.3841, 0.238, -0.4522, -0.3128, 0.3382)",[3.455  0.3189 0.25  ]
"(0.0765, 0.2431, -0.4465, -0.3057, 0.3429)",[3.5224 0.5627 0.25  ]
"(0.0816, 0.5051, -0.4447, -0.3066, 0.3474)",[3.3621 1.1693 0.25  ]
"(0.0842, 0.495, -0.454, -0.3891, 0.3347)",[3.3717 1.0758 0.25  ]
"(0.3738, 0.502, -0.4475, -0.386, 0.3417)",[3.3316 1.2228 0.25  ]
"(0.38, 0.5031, -0.4483, -0.389, 0.5029)",[3.1201 1.6391 0.25  ]
"(0.3798, 0.4913, -0.4553, -0.3921, 0.1495)",[3.508  0.6411 0.25  ]
"(0.3795, -0.3908, -0.4523, -0.3912, 0.1567)",[ 3.0436 -1.4079  0.25  ]
"(0.4585, -0.3837, -0.4438, -0.3845, 0.166)",[ 3.0765 -1.3627  0.25  ]
"(0.4602, -0.3939, -0.4514, -0.3901, -0.4744)",[ 1.747  -2.6846  0.25  ]
"(0.4691, -0.3844, -0.4431, 0.0502, -0.465)",[ 2.2167 -2.5567  0.25  ]
"(0.468, -0.392, -0.4507, -0.0165, -0.4726)",[ 2.1671 -2.5805  0.25  ]
"(0.4518, -0.3903, -0.4517, 0.0154, -0.4695)",[ 2.1404 -2.5981  0.25  ]
"(-0.2063, -0.3935, -0.4538, 0.0154, -0.4732)",[ 1.8676 -2.7135  0.25  ]
"(0.1648, -0.3869, -0.4465, 0.0242, -0.4671)",[ 2.0839 -2.6474  0.25  ]
"(0.1748, -0.387, -0.4459, 0.2103, -0.4676)",[ 2.2778 -2.5547  0.25  ]
"(0.1706, 0.3507, -0.4472, 0.2115, -0.4659)",[ 3.4437 -1.1558  0.25  ]
"(0.1729, 0.3524, -0.3403, 0.2136, -0.4683)",[ 3.5156 -0.9552  0.25  ]
"(0.1698, 0.3536, -0.3381, 0.2105, 0.3445)",[3.2303 1.6178 0.25  ]
"(0.1784, 0.3503, -0.3779, 0.2143, 0.3394)",[3.2403 1.5947 0.25  ]
"(0.1702, 0.3481, -0.3808, 0.2097, 0.2488)",[3.3811 1.3171 0.25  ]
"(0.1657, 0.3478, -0.3831, -0.3084, 0.2483)",[3.5345 0.7012 0.25  ]
"(0.1769, 0.3583, 0.2161, -0.3018, 0.2578)",[3.1295 1.7476 0.25  ]
"(0.1678, -0.1565, 0.2031, -0.3142, 0.2402)",[3.6355 0.5351 0.25  ]
"(0.1824, -0.1414, 0.2194, 0.1452, 0.2583)",[3.4681 1.0826 0.25  ]
"(0.1697, -0.1596, 0.204, 0.1374, -0.3216)",[ 3.5602 -0.7867  0.25  ]
"(0.1633, -0.1538, 0.2051, -0.4504, -0.3131)",[ 3.3316 -1.4194  0.25  ]
"(0.1684, -0.3747, 0.2053, -0.453, -0.3165)",[ 3.0159 -1.8829  0.25  ]
"(0.1671, -0.3735, -0.082, -0.4536, -0.3132)",[ 2.6111 -2.2312  0.25  ]
